"Taxa","FLoweringtime","nSpad","Log_2019.2020_PH","Log_D1_2019.2020","Log_D2_2019.2020","Log_D1_2019.2020AC","Log_D2_2019.2020AC","GHD","NDVIAug25","NDREAug25","SAVI_Aug25"
"PI655998.C57CTACXX.8.12268",1.75,2,1.918502294,0.7,0.85,2.98,2.88,7.8,0.26,0.16,0.11
"PI656001.C57CTACXX.2.2394",1.82,NA,NA,NA,NA,NA,NA,NA,0.65,0.4,0.28
"PI656002.C57CTACXX.9.12342",1.75,3,1.962851164,0.6,0.78,2.86,2.75,8,0.47,0.24,0.13
"PI656003.C57CTACXX.2.2116",1.76,2,2.123435923,0.74,0.85,2.96,2.64,8.8,0.61,0.32,0.26
"PI656004.C57CTACXX.4.5246",1.87,1,1.892259481,0.44,0.72,2.73,2.49,9,0.46,0.31,0.19
"PI656006.MERGE",1.79,0,1.939570666,0.7,0.88,2.84,1.82,9,0.32,0.19,0.13
"PI656007.C57CTACXX.9.12445",1.77,0,1.946376003,0.7,0.86,2.79,2.64,8.4,0.43,0.25,0.13
"PI656008.C57CTACXX.9.12369",1.81,2,2.113654998,0.63,0.76,2.95,2.88,9,0.51,0.27,0.25
"PI656009.MERGE",1.83,0,1.896506629,0.35,0.54,2.79,2.07,9,0.5,0.29,0.16
"PI656010.C57CTACXX.2.2309",1.82,0,1.982271233,0.7,0.9,3.01,1.36,8.7,0.2,0.13,0.08
"PI656011.C57CTACXX.2.1648",1.81,1,2.069735001,0.68,0.76,3.12,2.79,8.5,0.62,0.34,0.18
"PI656013.C57CTACXX.1.1483",1.77,1,2.242504727,0.68,0.85,2.89,2.77,8.7,0.34,0.23,0.14
"PI656014.C57CTACXX.2.1789",1.79,1,2.045809954,0.81,0.92,3,1.35,8.6,0.23,0.14,0.09
"PI656015.MERGE",1.77,1,2.159101254,0.74,0.88,2.92,2.4,8.4,0.36,0.25,0.17
"PI656016.C57CTACXX.1.1519",1.78,NA,1.989660593,0.68,0.81,2.88,2.73,NA,0.54,0.33,0.16
"PI656018.C57CTACXX.2.1980",1.74,0,1.960834926,0.86,0.93,3,2.66,8.2,0.49,0.26,0.2
"PI656019.C57CTACXX.2.2173",1.7,3,2.017397036,0.78,0.93,3.07,2.6,7.9,0.42,0.22,0.11
"PI656022.C57CTACXX.1.1481",1.76,4,2.035314422,0.6,0.85,2.96,0,9,0.21,0.13,0.08
"PI656024.C57CTACXX.3.4395",1.85,0,2.112401681,0.6,0.78,3.05,2.87,9,0.61,0.35,0.24
"PI656025.MERGE",1.72,0,2.11588554,0.7,0.9,2.52,2.53,9,0.3,0.2,0.11
"PI656026.MERGE",1.82,3,2.054772071,0.51,0.65,2.51,2.89,8,0.58,0.37,0.24
"PI656027.C57CTACXX.2.1740",1.84,2,2.087647707,0.6,0.81,2.61,2.92,8.5,0.54,0.35,0.18
"PI656028.C57CTACXX.1.1512",1.74,6,2.158846765,0.81,0.92,2.96,2.73,7.3,0.38,0.35,0.13
"PI656030.C57CTACXX.2.2338",1.67,0,1.924322266,0.74,0.9,2.95,2.71,9,0.32,0.18,0.12
"PI656031.C57CTACXX.2.1728",1.77,5,2.115791369,0.48,0.63,2.61,2.8,7,0.63,0.41,0.25
"PI656032.C57CTACXX.2.2080",1.82,1,2.252880589,0.72,0.81,3.05,2.94,8.8,0.28,0.21,0.11
"PI656033.C57CTACXX.2.1884",1.8,2,1.85954652,0.8,0.9,2.59,1.53,8.6,0.38,0.19,0.12
"PI656034.C57CTACXX.2.1574",1.82,0,2.155141558,0.6,0.74,2.94,2.85,9,0.44,0.31,0.14
"PI656037.C57CTACXX.2.1754",1.78,0,2.188103473,0.51,0.7,3.02,2.65,8.9,0.61,0.34,0.26
"PI656038.C57CTACXX.2.2010",1.84,1,2.225770809,0.88,0.94,3.01,2.42,8.7,0.41,0.22,0.09
"PI656039.C57CTACXX.9.12712",1.83,0,2.096030251,0.6,0.76,2.96,2.88,9,0.59,0.33,0.28
"PI656040.C57CTACXX.9.12476",1.82,1,1.916278484,0.63,0.81,2.56,2.95,8.7,0.57,0.3,0.16
